fecha,Consumo,Conexiones
2018-12-14 00:00:00+00:00,420,205.0
2018-12-15 00:00:00+00:00,0,1.0
2018-12-16 00:00:00+00:00,0,1.0
2018-12-17 00:00:00+00:00,670,365.0
2018-12-18 00:00:00+00:00,510,309.0
2018-12-19 00:00:00+00:00,550,303.0
2018-12-20 00:00:00+00:00,370,314.0
2018-12-21 00:00:00+00:00,320,160.0
2018-12-22 00:00:00+00:00,0,2.0
2018-12-23 00:00:00+00:00,20,3.0
2018-12-24 00:00:00+00:00,0,2.0
2018-12-25 00:00:00+00:00,0,1.0
2018-12-26 00:00:00+00:00,80,6.0
2018-12-27 00:00:00+00:00,50,7.0
2018-12-28 00:00:00+00:00,60,10.0
2018-12-29 00:00:00+00:00,0,2.0
2018-12-30 00:00:00+00:00,0,1.0
2018-12-31 00:00:00+00:00,0,2.0
2019-01-01 00:00:00+00:00,20,1.0
2019-01-02 00:00:00+00:00,40,10.0
2019-01-03 00:00:00+00:00,100,11.0
2019-01-04 00:00:00+00:00,70,17.0
2019-01-05 00:00:00+00:00,0,1.0
2019-01-06 00:00:00+00:00,0,0.0
2019-01-07 00:00:00+00:00,0,0.0
2019-01-08 00:00:00+00:00,290,121.0
2019-01-09 00:00:00+00:00,400,188.0
2019-01-10 00:00:00+00:00,380,166.0
2019-01-11 00:00:00+00:00,330,118.0
2019-01-12 00:00:00+00:00,0,1.0
2019-01-13 00:00:00+00:00,10,3.0
2019-01-14 00:00:00+00:00,350,192.0
2019-01-15 00:00:00+00:00,460,256.0
2019-01-16 00:00:00+00:00,320,139.0
2019-01-17 00:00:00+00:00,390,248.0
2019-01-18 00:00:00+00:00,280,193.0
2019-01-19 00:00:00+00:00,10,3.0
2019-01-20 00:00:00+00:00,0,3.0
2019-01-21 00:00:00+00:00,470,178.0
2019-01-22 00:00:00+00:00,380,180.0
2019-01-23 00:00:00+00:00,370,124.0
2019-01-24 00:00:00+00:00,370,153.0
2019-01-25 00:00:00+00:00,370,132.0
2019-01-26 00:00:00+00:00,10,4.0
2019-01-27 00:00:00+00:00,0,1.0
2019-01-28 00:00:00+00:00,0,1.0
2019-01-29 00:00:00+00:00,510,204.0
2019-01-30 00:00:00+00:00,610,218.0
2019-01-31 00:00:00+00:00,580,213.0
2019-02-01 00:00:00+00:00,360,93.0
2019-02-02 00:00:00+00:00,0,1.0
2019-02-03 00:00:00+00:00,10,1.0
2019-02-04 00:00:00+00:00,600,284.0
2019-02-05 00:00:00+00:00,800,303.0
2019-02-06 00:00:00+00:00,760,421.0
2019-02-07 00:00:00+00:00,710,343.0
2019-02-08 00:00:00+00:00,470,193.0
2019-02-09 00:00:00+00:00,0,3.0
